영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,x(epsg5174),y(epsg5174),lat_wgs84,lon_wgs84
신림,롯데시네마,영업,서울,서울특별시,관악구,서울특별시 관악구 신림동 1641-2 14층,"서울특별시 관악구 신림로 330 (신림동,14층)",193754.4274,442407.2012,37.4838513393186,126.930234545397
에비뉴엘(명동),롯데시네마,영업,서울,서울특별시,중구,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",198333.4709,451313.4129,,
영등포,롯데시네마,영업,서울,서울특별시,영등포구,서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",191741.3458,445970.3076,37.5156680341198,126.907665995469
용산,롯데시네마,영업,서울,서울특별시,용산구,서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",196370.7464,447841.6988,,
월드타워,롯데시네마,영업,서울,서울특별시,송파구,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",209074.9008,445657.8093,37.5137129859207,127.104301829165
은평(롯데몰),롯데시네마,영업,서울,서울특별시,은평구,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),192694.9237,459461.2361,37.6375366740938,126.917900261732
중랑,롯데시네마,영업,서울,서울특별시,중랑구,서울특별시 중랑구 묵동 234-1,서울특별시 중랑구 동일로 951 (묵동),206641.2692,456981.0858,37.6151499459916,127.076057076024
청량리,롯데시네마,영업,서울,서울특별시,동대문구,"서울특별시 동대문구 전농동 591-53 청량리민자역사 8층,9층","서울특별시 동대문구 왕산로 214, 8층,9층 (전농동, 청량리민자역사)",204081.2821,453187.3952,37.584197400389,127.05114503929
합정,롯데시네마,영업,서울,서울특별시,마포구,서울특별시 마포구 서교동 490 메세나폴리스 2층,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",192311.6426,449855.6439,37.5515008030203,126.91395024016
홍대입구,롯데시네마,영업,서울,서울특별시,마포구,서울특별시 마포구 동교동 166-6,서울특별시 마포구 양화로 176 (동교동),193330.7141,450564.5132,37.5572467836494,126.924986220455
광교,롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 영통구 이의동 1338,경기도 수원시 영통구 도청로 10 (이의동),204888.8556,420476.3916,37.2866696524735,127.055448351197
광명(광명사거리),롯데시네마,영업,경기/인천,경기도,광명시,"경기도 광명시 광명동 150-19 크로앙스 7,8층","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",187160.8742,441928.3533,,
광명아울렛,롯데시네마,영업,경기/인천,경기도,광명시,경기도 광명시 일직동 500,"경기도 광명시 일직로 17, 6,7층 (일직동)",189614.4451,435789.264,,
구리아울렛,롯데시네마,영업,경기/인천,경기도,구리시,경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛,"경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)",212338.5166,456623.1791,,
동탄,롯데시네마,영업,경기/인천,경기도,화성시,경기도 화성시 오산동 967-157,"경기도 화성시 동탄역로 160, 7층 (오산동)",208626.4119307396,410976.8228422349,37.200666359626,127.098203113972
라페스타,롯데시네마,영업,경기/인천,경기도,고양시,경기도 고양시 일산동구 장항동 764 라페스타C,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)",179511.6963,462156.7491,37.6613188687547,126.76879891373
마석,롯데시네마,영업,경기/인천,경기도,남양주시,경기도 남양주시 화도읍 마석우리 255-24,경기도 남양주시 화도읍 경춘로 1992,227234.545,460930.696,37.6501390859317,127.309296047054
별내,롯데시네마,영업,경기/인천,경기도,남양주시,경기도 남양주시 별내동 1005,"경기도 남양주시 별내중앙로 10, 지하 2층 (별내동)",211156.6267162716,460224.9779336031,37.6448465284725,127.127292049599
병점,롯데시네마,영업,경기/인천,경기도,화성시,경기도 화성시 병점동 844-1 씨네샤르망,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",203710.058,412437.8082,37.2139462472317,127.04247013799
부천(신중동역),롯데시네마,영업,경기/인천,경기도,부천시,경기도 부천시 원미구 중동 1141-2 8층~14층,"경기도 부천시 원미구 길주로 280 (중동, 프리머스 부천타워)",179874.935,444538.5593,37.5029094503645,126.773195207852
부평,롯데시네마,영업,경기/인천,인천광역시,부평구,인천광역시 부평구 갈산동 94,"인천광역시 부평구 주부토로 236, B동 (갈산동)",175822.3041,445934.8107,37.5158580433375,126.726800852864
부평갈산,롯데시네마,영업,경기/인천,인천광역시,부평구,인천광역시 부평구 갈산동 94,"인천광역시 부평구 주부토로 236, B동 (갈산동)",175822.3041,445934.8107,37.5158580433375,126.726800852864
부평역사,롯데시네마,영업,경기/인천,인천광역시,부평구,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16 (부평동),175462.0575899973,443098.1110162785,37.4895676659869,126.72335064425
북수원(천천동),롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 장안구 천천동 516,"경기도 수원시 장안구 천천로 100, 3층 (천천동)",198520.4175,422075.1568,37.3006121410454,126.984003276343
산본피트인,롯데시네마,영업,경기/인천,경기도,군포시,경기도 군포시 산본동 1145-6 10층,"경기도 군포시 번영로 485, 10층 (산본동)",193789.4107,428419.5783,37.3578052964351,126.93066890189
서수원,롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 권선구 금곡동 1114-1 리더스 빌딩 10층호,"경기도 수원시 권선구 금곡로 219, 리더스 빌딩 10층 (금곡동)",195858.1535,419228.5768,37.2750009452322,126.954079196941
